"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"416","Tarleton State University","TX","Planning for in-person","Stephenville",0,0,1,1,8,6,0,"Erath",3,10428,2045,43748028,215134114,230041824,66019909,73216034,402993971,"Public",NA,0,1,1,1,1,5,1,0,3617,0,4032,4032,4032,3996,3996,11466,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5,1004,718,718,286,874,666,666,208,155,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,16,1,417,9,408,326,0,12,70,29779627,21830680,0,955483,6993464,27857363,68278,66965,NA,79624,99907,70,0,70,47,0,2,21,7474007,4368864,0,218172,2886971,6712557,95894,92955,NA,109086,137475,79,0,79,59,0,4,16,6589922,4571847,0,324525,1693550,6107471,77310,77489,NA,81131,105847,184,1,183,157,0,3,23,11963399,9923815,0,245128,1794456,11470172,62679,63209,NA,81709,78020,83,8,75,63,0,3,9,3704299,2966154,0,167658,570487,3531163,47082,47082,NA,55886,63387,1,0,1,0,0,0,1,48000,0,0,0,48000,36000,36000,NA,NA,NA,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,3,0,40,135,71,84,119,7,18,0,126,3,1,33242710,270273,0,1658707,12122389,3341646,4897663,5083547,397910,913816,0,4392738,136066,27955,2553,0.9766,"Positive"
"417","Taylor University","IN","Planning for in-person","Upland",1,0,1,1,7,13,1,"Grant",1,2165,532,94075609,65243000,72071000,36459000,35324916,216300000,"Private non-profit",11030339,3,0,1,0,1,5,1,0,1768,0,33864,33864,33864,12700,12700,12700,2195,2167,28,1873,1846,27,322,321,1,37,12,266,266,5,NA,18,18,0,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33885,2068,247,23,135,0,135,122,10,0,3,8147626,7262766,693596,0,191264,8030450,59485,59531,69360,NA,63755,48,0,48,44,4,0,0,3353112,3026988,326124,0,0,3320500,69177,68795,81531,NA,NA,34,0,34,31,3,0,0,2017614,1817345,200269,0,0,1997587,58753,58624,66756,NA,NA,45,0,45,41,2,0,2,2413078,2149318,122295,0,141465,2365482,52566,52422,61148,NA,70733,8,0,8,6,1,0,1,363822,269115,44908,0,49799,346881,43360,44853,44908,NA,49799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,0,0,9,34,15,26,40,5,41,1,80,14,3,12109199,0,0,538297,3107213,803571,1185881,1690860,210768,1131009,32562,2799000,511446,98592,2011,0.9912,"Positive"
"418","Temple University","PA","Waiting to decide","Philadelphia",0,0,1,0,0,12,1,"Philadelphia",4,35501,5009,683965000,3260905000,3480917000,2024090000,838780000,2818347000,"Private non-profit",113527000,0,1,1,1,1,10,1,0,6043,1,16080,16080,16080,16488,16488,22698,39740,29484,10256,34382,26784,7598,5358,2700,2658,47,85,1684,489,451,1195,5543,4699,4682,844,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74312,5397,22150,1282,1651,0,1651,0,1503,0,148,186042732,0,163269503,0,22773229,164022474,99347,NA,108629,NA,153873,410,0,410,0,357,0,53,68135415,0,58007867,0,10127548,59802741,145860,NA,162487,NA,191086,523,0,523,0,481,0,42,57992131,0,51510536,0,6481595,51220679,97936,NA,107091,NA,154324,645,0,645,0,604,0,41,54932663,0,49808631,0,5124032,48670792,75459,NA,82465,NA,124976,73,0,73,0,61,0,12,4982523,0,3942469,0,1040054,4328263,59291,NA,64631,NA,86671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461,0,0,169,942,140,480,337,493,0,6,593,188,113,245652704,0,0,9138999,100212936,9536452,30375524,23206362,24004796,0,249378,30456655,12249336,6222266,4674,0.993,"Positive"
"419","Tennessee Technological University","TN","Planning for in-person","Cookeville",0,0,1,1,8,12,1,"Putnam",3,6913,1874,67192270,187974273,195637856,140913800,53470692,324295209,"Public",NA,0,0,1,1,1,4,1,0,2245,0,7488,7488,7488,10040,10040,24560,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,801,259,231,542,6322,6061,6031,261,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21763,356,461,5,428,0,428,425,0,0,3,31568564,31228998,0,0,339566,31483673,73560,73480,NA,NA,113189,144,0,144,142,0,0,2,13578882,13309554,0,0,269328,13511550,93830,93729,NA,NA,134664,90,0,90,90,0,0,0,6870996,6870996,0,0,0,6870996,76344,76344,NA,NA,NA,90,0,90,90,0,0,0,6084922,6084922,0,0,0,6084922,67610,67610,NA,NA,NA,58,0,58,58,0,0,0,2722504,2722504,0,0,0,2722504,46940,46940,NA,NA,NA,46,0,46,45,0,0,1,2311260,2241022,0,0,70238,2293701,49863,49800,NA,NA,70238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,5,9,88,68,74,84,121,14,52,1,182,53,1,39270636,499612,663216,4421158,8638383,4328027,4853707,6064978,754154,1655749,30420,5492966,1842131,26135,2752,0.8825,"Positive"
"420","Texas A & M University-Corpus Christi","TX","Planning for in-person","Corpus Christi",0,0,1,1,0,10,0,"Nueces",3,9053,1887,18808403,223191562,239174176,71699776,81197092,450772164,"Public",NA,0,0,1,1,1,NA,1,0,2832,0,4719,4719,4719,3965,3965,12817,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,22,867,292,292,575,5551,4799,4775,752,43,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,268,3,438,19,419,389,0,0,30,31860518,28467042,0,0,3393476,31012149,74015,73180,NA,NA,113116,149,0,149,133,0,0,16,12463373,10435904,0,0,2027469,11956506,80245,78465,NA,NA,126717,90,0,90,84,0,0,6,7081223,6354349,0,0,726874,6899505,76661,75647,NA,NA,121146,172,1,171,163,0,0,8,11878473,11239340,0,0,639133,11718690,68530,68953,NA,NA,79892,9,0,9,9,0,0,0,437449,437449,0,0,0,437449,48605,48605,NA,NA,NA,18,18,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,9,0,40,154,87,136,123,14,23,0,183,5,5,44682741,1170365,0,1877012,15051129,4339391,7584274,5762989,787097,993013,0,6610382,190202,316887,2000,0.9902,"Positive"
"421","Texas Christian University","TX","Planning for in-person","Fort Worth",1,0,1,1,0,14,1,"Tarrant",3,20156,2187,1595949000,499615000,683997000,822621000,283216000,2377737000,"Private non-profit",78290000,0,1,1,1,1,11,1,0,4447,1,46860,46860,46860,29340,29340,29340,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,103,184,0,0,184,99,0,0,99,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,5294,158,709,0,709,668,0,0,41,76525580,71194962,0,0,5330618,75192926,106055,106579,NA,NA,130015,186,0,186,179,0,0,7,27813959,26430197,0,0,1383762,27468019,147678,147655,NA,NA,197680,213,0,213,203,0,0,10,22877981,21256221,0,0,1621760,22472541,105505,104710,NA,NA,162176,172,0,172,153,0,0,19,15913050,13957164,0,0,1955886,15424079,89675,91223,NA,NA,102941,91,0,91,89,0,0,2,7006273,6825863,0,0,180410,6961171,76496,76695,NA,NA,90205,44,0,44,44,0,0,0,2725517,2725517,0,0,0,2725517,61944,61944,NA,NA,NA,3,0,3,0,0,0,3,188800,0,0,0,188800,141600,47200,NA,NA,NA,62933,1462,15,0,71,201,156,98,238,17,309,2,286,67,2,111966728,1074126,0,4058720,26882196,13744698,7691617,30621903,1068133,10943281,116145,12474815,3208991,82103,3276,0.9816,"Positive"
"422","Lamar University","TX","Planning for in-person","Beaumont",0,0,1,1,1,6,0,"Jefferson",3,5486,1397,123023772,242190845,234366733,85097969,86336963,436225367,"Public",NA,0,1,1,1,1,4,1,0,2505,0,5912,5912,5912,6234,6234,13704,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,7109,2040,1770,5069,3409,3067,3063,342,84,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,518,27,473,0,473,470,0,0,3,34348960,34151275,0,0,197685,34299539,72515,72662,NA,NA,65895,93,0,93,93,0,0,0,9176804,9176804,0,0,0,9176804,98675,98675,NA,NA,NA,116,0,116,116,0,0,0,9306128,9306128,0,0,0,9306128,80225,80225,NA,NA,NA,117,0,117,117,0,0,0,8249443,8249443,0,0,0,8249443,70508,70508,NA,NA,NA,143,0,143,143,0,0,0,7369207,7369207,0,0,0,7369207,51533,51533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,1,0,0,3,247378,49693,0,0,197685,197957,49489,49693,NA,NA,65895,864,1,0,151,140,85,59,70,15,149,0,146,47,1,41546513,42000,0,6948273,12117964,3835723,2983437,3959649,908717,3976093,0,4686225,2046356,42076,1622,0.775,"Positive"
"423","Sam Houston State University","TX","Planning for in-person","Huntsville",0,0,1,1,7,12,0,"Walker",4,11819,2827,125827277,363707097,442233760,146919367,157307281,911740237,"Public",NA,0,1,1,1,1,NA,1,0,3875,0,5616,5616,5616,5540,5540,13010,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,14,3489,1910,1910,1579,7776,7408,7408,368,93,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,869,27,778,0,778,776,0,0,2,54271294,53936278,0,0,335016,54187540,69650,69506,NA,NA,167508,176,0,176,176,0,0,0,17563050,17563050,0,0,0,17563050,99790,99790,NA,NA,NA,187,0,187,185,0,0,2,15190144,14855128,0,0,335016,15106390,80783,80298,NA,NA,167508,188,0,188,188,0,0,0,12748572,12748572,0,0,0,12748572,67812,67812,NA,NA,NA,1,0,1,1,0,0,0,64584,64584,0,0,0,64584,64584,64584,NA,NA,NA,226,0,226,226,0,0,0,8704944,8704944,0,0,0,8704944,38517,38517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1338,0,19,70,156,204,117,87,22,177,1,437,48,0,74079072,0,1140072,3324240,17602511,11796864,7268160,5116032,1484832,6326496,33960,17850841,2135064,0,1622,0.775,"Positive"
"424","Sul Ross State University","TX","Planning for in-person","Alpine",0,0,1,1,8,6,0,"Brewster",1,785,344,20739253,56089944,55345503,13090653,9009410,109817372,"Public",NA,0,0,1,1,1,NA,1,0,779,0,4891,4891,4891,2082,2082,8943,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,920,541,493,379,790,684,675,106,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,1,0,103,0,103,97,0,0,6,5885024,5381377,0,0,503647,5759112,55914,55478,NA,NA,83941,29,0,29,27,0,0,2,2085887,1882063,0,0,203824,2034931,70170,69706,NA,NA,101912,16,0,16,15,0,0,1,959007,878996,0,0,80011,939004,58688,58600,NA,NA,80011,33,0,33,33,0,0,0,1745978,1745978,0,0,0,1745978,52908,52908,NA,NA,NA,5,0,5,3,0,0,2,305186,139926,0,0,165260,263871,52774,46642,NA,NA,82630,15,0,15,14,0,0,1,551534,496982,0,0,54552,537896,35860,35499,NA,NA,54552,5,0,5,5,0,0,0,237432,237432,0,0,0,237432,47486,47486,NA,NA,NA,268,0,0,7,41,11,30,10,1,33,0,119,16,0,10815777,0,0,308128,3069995,590916,1242620,464395,40607,798436,0,3838640,462040,0,1622,0.775,"Positive"
"425","Texas State University","TX","Planning for in-person","San Marcos",0,0,1,1,5,12,0,"Hays",4,24923,5966,204939247,696832745,724029942,301463604,274549788,1818670088,"Public",NA,0,1,1,1,1,5,1,0,6638,0,7779,7779,7779,6556,6556,14856,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,9,1376,656,656,720,9406,8779,8779,627,213,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,314,3,1339,0,1339,1298,0,0,41,97391669,91200870,0,0,6190799,95843969,71579,70263,NA,NA,150995,261,0,261,225,0,0,36,28668948,23148668,0,0,5520280,27288878,104555,102883,NA,NA,153341,270,0,270,265,0,0,5,22318299,21647780,0,0,670519,22150669,82040,81690,NA,NA,134104,213,0,213,213,0,0,0,15482784,15482784,0,0,0,15482784,72689,72689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,0,581,581,0,0,0,30210384,30210384,0,0,0,30210384,51997,51997,NA,NA,NA,14,0,14,14,0,0,0,711254,711254,0,0,0,711254,50804,50804,NA,NA,NA,2458,102,21,81,298,216,256,419,51,252,7,563,138,54,137554270,7199922,1515257,5089971,30165895,12951643,15543921,22517369,3180463,8550817,306187,21953654,6025870,2553301,1622,0.775,"Positive"
"426","Texas Tech University","TX","Planning for in-person","Lubbock",0,0,1,1,0,14,0,"Lubbock",4,24452,6083,733670808,930889234,997278525,263906691,319086236,2366109311,"Public",NA,0,1,1,1,1,8,1,0,8178,1,6576,6576,6576,5832,5832,13302,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,111,3513,1980,1147,1533,15508,14487,14423,1021,99,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,680,50,1606,0,1606,1358,0,0,248,140243468,117859058,0,0,22384410,134647366,83840,86789,NA,NA,90260,403,0,403,350,0,0,53,53157708,43964958,0,0,9192750,50859521,126202,125614,NA,NA,173448,362,0,362,351,0,0,11,32838150,31662725,0,0,1175425,32544294,89901,90207,NA,NA,106857,421,0,421,396,0,0,25,32950281,31254814,0,0,1695467,32526414,77260,78926,NA,NA,67819,307,0,307,258,0,0,49,14057696,10854492,0,0,3203204,13256895,43182,42072,NA,NA,65372,1,0,1,1,0,0,0,40000,40000,0,0,0,40000,40000,40000,NA,NA,NA,112,0,112,2,0,0,110,7199633,82069,0,0,7117564,5420242,48395,41035,NA,NA,64705,3225,118,59,100,428,56,247,115,7,491,5,1284,158,157,163445378,7021266,5856645,3862647,38360833,2477384,12012555,12772198,431454,14741436,208901,53920977,6147213,5631869,6654,0.9959,"Positive"
"427","Texas Wesleyan University","TX","Planning for in-person","Fort Worth",1,0,1,1,0,12,1,"Tarrant",1,4096,298,62012024,59211115,64901049,23946296,39883299,130549573,"Private non-profit",9873929,0,1,1,1,1,6,1,0,526,1,26328,26328,26328,15559,15559,15559,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12,208,26,26,182,1030,928,928,102,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,5294,158,133,0,133,0,104,0,29,10619306,0,7323649,0,3295657,9063027,68143,NA,70420,NA,113643,35,0,35,0,25,0,10,3306244,0,2009923,0,1296321,2781171,79462,NA,80397,NA,129632,44,0,44,0,37,0,7,3385547,0,2744495,0,641052,2950835,67064,NA,74176,NA,91579,45,0,45,0,35,0,10,3423822,0,2282196,0,1141626,2910196,64671,NA,65206,NA,114163,9,0,9,0,7,0,2,503693,0,287035,0,216658,420825,46758,NA,41005,NA,108329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,0,0,24,42,15,3,49,5,7,2,65,11,0,10107946,0,0,897414,3764749,709216,174925,1629718,215921,184722,57773,2083888,389620,0,NA,NA,NA
"428","Texas Woman's University","TX","Planning for in-person","Denton",0,0,1,1,1,6,1,"Denton",3,5727,1223,72159002,202806786,238782785,299713096,79048731,727567493,"Public",NA,0,1,1,1,1,4,1,0,2210,0,5268,5268,5268,4852,4852,12322,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,4025,1619,1615,2406,5206,4247,4243,959,30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,1285,30,469,0,469,469,0,0,0,35942258,35942258,0,0,0,35942258,76636,76636,NA,NA,NA,127,0,127,127,0,0,0,12936342,12936342,0,0,0,12936342,101861,101861,NA,NA,NA,155,0,155,155,0,0,0,11399076,11399076,0,0,0,11399076,73542,73542,NA,NA,NA,167,0,167,167,0,0,0,10504529,10504529,0,0,0,10504529,62901,62901,NA,NA,NA,3,0,3,3,0,0,0,136886,136886,0,0,0,136886,45629,45629,NA,NA,NA,17,0,17,17,0,0,0,965425,965425,0,0,0,965425,56790,56790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,0,0,88,127,61,106,75,13,130,0,235,33,17,46318709,0,0,4285135,13709476,3524371,6610653,3485225,923095,3789487,0,7922279,1327823,741165,1475,-0.5329,"Negative"
"429","Thomas Jefferson University","PA","Planning for in-person","Philadelphia",1,0,1,0,0,14,1,"Philadelphia",2,4522,563,932897000,4717991846,4978945209,3377068525,212206165,4072430872,"Private non-profit",192514395,0,1,1,1,1,7,1,0,2089,0,39495,39495,39495,21060,21060,21060,7786,3550,4236,5753,2941,2812,2033,609,1424,27,NA,1058,319,303,739,1380,694,669,686,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74312,5397,22150,1282,301,0,301,0,92,0,209,28257004,0,7149433,0,21107571,22265168,73971,NA,77711,NA,100993,35,0,35,0,17,0,18,4295274,0,1717931,0,2577343,3479145,99404,NA,101055,NA,143186,91,0,91,0,37,0,54,9016516,0,2914562,0,6101954,7199571,79116,NA,78772,NA,112999,135,0,135,0,31,0,104,11793679,0,2099127,0,9694552,9160128,67853,NA,67714,NA,93217,33,0,33,0,3,0,30,2743712,0,204000,0,2539712,2088384,63284,NA,68000,NA,84657,7,0,7,0,4,0,3,407823,0,213813,0,194010,337939,48277,NA,53453,NA,64670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629,0,0,23,417,84,359,47,26,202,4,336,129,2,134194734,0,0,1293531,59135500,6850442,27435257,4420923,1519217,8907888,148515,16527196,7851652,104613,2934,0.5423,"Positive"
"430","Transylvania University","KY","Waiting to decide","Lexington",1,1,1,1,0,9,1,"Fayette",0,1662,298,174646533,39632104,35343383,50482811,17501138,235474337,"Private non-profit",4885081,3,0,0,NA,0,10,1,0,752,0,37170,37170,37170,NA,NA,NA,987,987,NA,976,976,NA,11,11,NA,20,2,NA,NA,NA,NA,NA,NA,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9510,424,673,13,84,0,84,84,0,0,0,5730549,5730549,0,0,0,5730549,68221,68221,NA,NA,NA,35,0,35,35,0,0,0,2670476,2670476,0,0,0,2670476,76299,76299,NA,NA,NA,28,0,28,28,0,0,0,1861239,1861239,0,0,0,1861239,66473,66473,NA,NA,NA,18,0,18,18,0,0,0,1042937,1042937,0,0,0,1042937,57941,57941,NA,NA,NA,3,0,3,3,0,0,0,155897,155897,0,0,0,155897,51966,51966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,0,0,22,25,7,9,39,1,30,0,44,10,0,9472886,0,0,1066920,2746477,346827,538948,1668430,79456,913793,0,1719591,392444,0,4234,0.9982,"Positive"
"431","Trevecca Nazarene University","TN","Planning for in-person","Nashville",1,0,1,1,0,7,1,"Davidson",1,1671,380,29488241,52618574,57811651,56084905,40824538,79728749,"Private non-profit",3350621,0,1,1,1,1,NA,1,0,901,1,24698,24698,24698,9504,9504,9504,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,11,1388,561,561,827,259,224,224,35,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21763,356,5147,60,99,0,99,70,12,6,11,6484678,4340688,886857,412827,844306,6109781,61715,62010,73905,68805,76755,34,0,34,27,5,1,1,2467964,1903076,389028,80361,95499,2390561,70311,70484,77806,80361,95499,37,0,37,26,7,2,2,2384928,1577345,497829,151102,158652,2267982,61297,60667,71118,75551,79326,27,0,27,16,0,3,8,1591786,820267,0,181364,590155,1411239,52268,51267,NA,60455,73769,1,0,1,1,0,0,0,40000,40000,0,0,0,40000,40000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,0,0,7,47,27,22,21,1,20,0,86,13,1,12354991,0,0,319529,4073470,1137003,1125986,1048850,30000,615424,0,3554129,424891,25709,3199,0.9763,"Positive"
"432","Trine University","IN","Planning for in-person","Angola",1,0,1,1,7,11,1,"Steuben",1,3993,641,34578686,58567512,70538760,49562092,40441341,140371961,"Private non-profit",8676620,0,0,1,1,1,NA,1,0,1651,0,31700,31700,31700,9900,9900,9900,4320,4190,130,2184,2054,130,2136,2136,NA,27,9,36,36,5,0,747,747,720,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33885,2068,81,2,120,0,120,114,0,0,6,8403088,7620359,0,0,782729,8207406,68395,66845,NA,NA,130455,16,0,16,13,0,0,3,1522492,1001076,0,0,521416,1392138,87009,77006,NA,NA,173805,36,0,36,34,0,0,2,3024052,2856392,0,0,167660,2982137,82837,84012,NA,NA,83830,47,0,47,46,0,0,1,3099370,3005717,0,0,93653,3075957,65446,65342,NA,NA,93653,11,0,11,11,0,0,0,501751,501751,0,0,0,501751,45614,45614,NA,NA,NA,10,0,10,10,0,0,0,255423,255423,0,0,0,255423,25542,25542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,0,0,4,37,6,12,0,0,116,16,0,50,0,11803665,0,0,206599,3340736,280717,710489,0,0,4933744,1010899,0,1320481,0,1937,0.9887,"Positive"
"433","Trinity College","IL","Planning for in-person","Hartford",1,0,1,1,1,13,1,"Hartford",1,6096,579,621190886,147167794,178695699,203513443,70435937,763975185,"Private non-profit",32849864,0,0,0,0,0,NA,1,0,1999,0,54340,54340,54340,17100,17100,17100,2235,2182,53,2116,2112,4,119,70,49,42,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,759,353,70,76,66,306,122,35,108,19,4,1,8,78,2,0,116128,5225,10078,1208,221,0,221,221,0,0,0,21149975,21149975,0,0,0,21149975,95701,95701,NA,NA,NA,61,0,61,61,0,0,0,8196531,8196531,0,0,0,8196531,134369,134369,NA,NA,NA,59,0,59,59,0,0,0,5887321,5887321,0,0,0,5887321,99785,99785,NA,NA,NA,33,0,33,33,0,0,0,2741141,2741141,0,0,0,2741141,83065,83065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,20,20,0,0,0,1415233,1415233,0,0,0,1415233,70762,70762,NA,NA,NA,48,0,48,48,0,0,0,2909749,2909749,0,0,0,2909749,60620,60620,NA,NA,NA,430,1,0,84,75,45,41,82,13,30,0,58,0,1,30231375,86700,0,4495501,10031344,3120504,3000882,4875706,821891,1228193,0,2526810,0,43844,5636,0.9988,"Positive"
